Function,Algorithm,Mean Fun,Median Fun,Max Fun,Min Fun,Mean Nit,Median Nit,Max Nit,Min Nit,Mean NFEV,Median NFEV,Max NFEV,Min NFEV,Mean Time,Median Time,Max Time,Min Time
cec2017_f1,DE,100.00004489043866,100.00001685076369,100.00034225784675,100.00000004442555,111.2156862745098,110.0,142,91,16915.176470588234,16716.0,21527,13877,3.3755098264901955,3.1739170000000003,4.997172463,2.684119532
cec2017_f1,DE_WT,100.00003080230054,100.00001207148887,100.0003860452531,100.00000010595868,92.76470588235294,94.0,119,76,14146.235294117647,14316.0,18088,11777,2.851638951294118,2.81414809,4.099511017,2.1354594319999998
cec2017_f2,DE,200.00039849002067,200.00025116849736,200.00145765573652,200.0000057441181,66.09803921568627,64.0,83,53,10359.117647058823,10076.0,12843,8298,2.412113651843137,2.0963073,5.641295401,1.654608725
cec2017_f2,DE_WT,200.00072804346237,200.00042703773042,200.00806950945085,200.00000421705582,47.88235294117647,48.0,64,36,7642.078431372549,7636.0,10025,5803,1.8484131375098036,1.5473843630000002,7.135942227,1.199082062
cec2017_f3,DE,300.0000000769878,300.000000004816,300.0000018816032,300.00000000000097,63.90196078431372,64.0,81,49,9853.921568627451,9860.0,12443,7632,3.133586889333334,3.036160562,5.835135238,1.86049229
cec2017_f3,DE_WT,300.00000007591234,300.0000000070667,300.00000094242074,300.0000000000049,46.0,46.0,63,38,7167.549019607844,7160.0,9721,5949,2.688482327960784,2.463711805,4.726089032,1.4120696609999999
cec2017_f4,DE,400.0000401851758,400.00001736397763,400.00039217422653,400.00000001532004,75.03921568627452,73.0,101,50,11505.960784313726,11188.0,15388,7870,3.298661400431373,3.0400679000000004,6.65573069,2.0880506
cec2017_f4,DE_WT,401.09065324059696,400.00002691622444,455.6208195774826,400.00000021515075,60.78431372549019,61.0,81,45,9349.176470588236,9388.0,12388,6988,2.6353566400980397,2.624692077,3.7993107079999997,1.508222452
cec2017_f5,DE,513.2661040738587,510.9445445907073,525.8688901452006,502.98487717130257,137.88235294117646,135.0,224,82,20914.529411764706,20455.0,33849,12516,4.045487447666667,3.96183439,5.682611658,2.589964111
cec2017_f5,DE_WT,512.1540960901092,511.9394986096397,522.884012928845,503.9798362300238,128.86274509803923,117.0,334,63,19543.254901960783,17777.0,50316,9677,3.499785338607843,3.1723661940000003,8.170450364,1.984187322
cec2017_f6,DE,600.1616611506385,600.0100400554948,601.7345796420128,600.000437544597,139.88235294117646,138.0,204,101,21444.019607843136,21103.0,31091,15531,6.439433947627452,6.276560797,9.454512437999998,3.359561955
cec2017_f6,DE_WT,600.5353798265093,600.2116670709539,606.0789473413523,600.0011878924071,99.68627450980392,101.0,168,66,15504.549019607843,15615.0,25658,10336,5.509678268392156,5.1771005709999995,9.034489744,2.601250743
cec2017_f7,DE,725.0487121021052,725.3065501713058,735.79947701285,709.7709295845366,154.35294117647058,148.0,216,86,23410.56862745098,22471.0,32649,13292,6.244816791941178,6.1118697609999995,8.353750042,4.360751059
cec2017_f7,DE_WT,722.0870334963543,721.7946162026367,733.6064834374116,706.110980917633,210.4313725490196,206.0,401,79,31780.92156862745,31116.0,60366,12066,7.561076019333334,7.405898149,13.241523153,3.493748565
cec2017_f8,DE,811.9785145920054,810.9445395525097,824.8739310417045,804.9747952883627,135.6078431372549,135.0,194,77,20575.941176470587,20466.0,29316,11799,4.449211734803922,4.489874723,6.260609552,2.968310552
cec2017_f8,DE_WT,811.1981577212922,809.949586065391,819.8991612498158,805.9697493104953,124.76470588235294,124.0,219,66,18931.352941176472,18849.0,33055,10138,3.8646339408235293,3.7721445,6.432821926,2.505876193
cec2017_f9,DE,901.0150599808703,900.4543240277219,908.1823208111362,900.0000000005416,68.07843137254902,67.0,118,45,10460.333333333334,10343.0,17949,6988,3.3423501380196075,3.0322152609999997,6.196092143,2.1137982990000004
cec2017_f9,DE_WT,901.2491892508779,900.4543279016881,907.6356448731184,900.0000000011354,47.88235294117647,47.0,75,34,7437.607843137255,7277.0,11521,5382,2.8903938604705885,2.663355647,6.214970537,1.551931374
cec2017_f10,DE,1541.408046750367,1510.5052811667279,2390.7527030192664,1000.3124004563233,189.49019607843138,190.0,282,101,28724.50980392157,28782.0,42681,15432,7.400628677058823,7.280267820000001,13.917895033,4.637602957
cec2017_f10,DE_WT,1225.9101093343352,1237.516547490451,1668.603800407187,1000.2499450426849,363.2156862745098,321.0,770,115,54698.56862745098,48366.0,115705,17466,12.084877240627453,10.840190605,24.712450326,4.195120878
cec2017_f11,DE,1103.2685490891467,1101.990068324694,1109.6712324533519,1100.0000000381085,101.92156862745098,104.0,165,65,15545.0,15838.0,24977,10219,5.808238733686276,5.711946592,7.67441907,4.334683598000001
cec2017_f11,DE_WT,1105.0170962619827,1103.9799024410497,1120.8940372225613,1100.0000001206752,75.96078431372548,76.0,113,46,11646.78431372549,11682.0,17177,7149,4.60281113637255,4.644989278000001,6.380232191,2.9057289760000002
cec2017_f12,DE,1282.7906760638082,1318.6466205556787,1536.8780296457144,1200.0005110331888,110.01960784313725,108.0,154,80,16747.843137254902,16504.0,23294,12194,6.659925072882354,6.712866426000001,8.735446471,3.996593674
cec2017_f12,DE_WT,1345.7765671910142,1319.9463487634503,1732.9837454219698,1200.0001567060376,100.49019607843137,98.0,145,71,15305.274509803921,14905.0,21999,10844,5.968986984019609,5.969444511,8.062805249999998,3.686780009
cec2017_f13,DE,1305.226720504082,1304.1089467002118,1317.3461167594774,1300.000367615778,128.05882352941177,126.0,185,94,19527.92156862745,19237.0,28021,14437,7.7212688775490195,7.44037288,11.271926269,5.722859369
cec2017_f13,DE_WT,1321.3600870143296,1307.2560614605193,1729.621443563583,1300.9950638876253,112.27450980392157,109.0,170,63,17181.196078431374,16848.0,25837,9798,7.085518292313725,6.933472747,11.221732853,4.450820751
cec2017_f14,DE,1406.9872813397403,1402.986148333388,1431.9401260954298,1400.0015226420023,154.80392156862746,148.0,299,103,23577.647058823528,22537.0,45253,15721,11.016834135588233,10.624413527,18.61514739,7.135728707
cec2017_f14,DE_WT,1415.1814798197142,1412.9350439593686,1457.8081531445375,1401.990308414776,387.2352941176471,115.0,5472,59,58395.98039215686,17543.0,821181,9209,21.19880990882353,8.481954456999999,275.17090191600005,5.454790535
cec2017_f15,DE,1501.5323252985033,1501.138393734611,1506.4141984801365,1500.004672103569,123.01960784313725,124.0,153,88,19044.882352941175,19278.0,23430,13603,8.917009856921569,7.701547813,15.701672972999999,5.014574937
cec2017_f15,DE_WT,1503.7092883056234,1502.3230801089944,1513.9497528474978,1500.002049527667,102.05882352941177,100.0,176,60,15829.803921568628,15436.0,26836,9326,6.602730481686274,5.733669525,14.005411715,3.016947627
cec2017_f16,DE,1616.4349600083435,1600.551152804783,1746.160143161955,1600.0046566525693,175.13725490196077,172.0,266,108,26690.196078431374,26181.0,40281,16900,10.444532235627452,10.018077841,17.831303287,6.737005612
cec2017_f16,DE_WT,1624.3722764255251,1600.7442175279723,1900.9572489682246,1600.0208132988753,153.3921568627451,160.0,266,78,23446.549019607843,24733.0,40281,12081,9.196302936980391,9.744431288,15.291038315,4.626583418
cec2017_f17,DE,1714.5849618031189,1705.2974888605756,1783.4893960941984,1700.079760197989,162.45098039215685,155.0,297,122,24885.176470588234,23686.0,45052,18747,14.582255264647058,13.600242324,23.532641326,10.050872191
cec2017_f17,DE_WT,1716.852414046516,1718.2659631354013,1755.5251107718823,1701.3175598370015,488.6470588235294,349.0,4613,132,73772.5294117647,52918.0,692331,20170,38.326377565745105,27.185649976,352.45854011,10.971825019999999
cec2017_f18,DE,1802.1522904394299,1801.1963484510968,1821.0830411966353,1800.002798646666,132.98039215686273,129.0,307,96,20537.274509803923,19999.0,46706,14726,10.563782596686275,9.027795901000001,26.25022667,6.668352038999999
cec2017_f18,DE_WT,1810.2292794229895,1802.4245994840026,1856.5112833207334,1800.0184151887036,705.0980392156863,122.0,10000,85,106294.74509803922,18714.0,1500381,13215,40.4950319152353,9.99977275,551.6650636640001,5.524239549
cec2017_f19,DE,1900.6077962661366,1900.1626908176765,1902.5611865738342,1900.0104898715529,153.90196078431373,153.0,208,111,23423.156862745098,23265.0,31790,16943,13.437112302196079,12.805573704,23.867558786,9.440249911
cec2017_f19,DE_WT,1901.5265259699156,1901.1045627932865,1911.0627776490476,1900.0110783587463,118.96078431372548,124.0,206,65,18144.019607843136,18827.0,31171,10076,10.377029872450981,10.035591164000001,17.353202616,5.41491044
cec2017_f20,DE,2005.3866847267825,2002.034850224788,2025.050496022796,2000.0155984707983,198.13725490196077,191.0,326,153,30121.86274509804,29031.0,49281,23331,17.26671107266667,16.609707808,27.702466375,13.516984578
cec2017_f20,DE_WT,2009.9885587205788,2004.5406776390325,2038.1041797728901,2000.3329766013399,384.2156862745098,276.0,1637,147,58022.41176470588,41781.0,245931,22431,31.703081732529416,22.761039523999997,130.738615055,13.810558372
cec2017_f21,DE,2256.2037477213094,2200.000025628572,2330.2870588230066,2200.000002452442,102.66666666666667,95.0,185,55,15666.254901960785,14598.0,27999,8532,10.11831196309804,10.013940702000001,15.325241389,6.241992853999999
cec2017_f21,DE_WT,2276.8539223066614,2309.6942102757293,2321.684185659286,2200.0000023725265,85.68627450980392,74.0,224,40,13087.490196078432,11305.0,33794,6293,8.23420699998039,7.430915978,16.582932028000002,4.35143556
cec2017_f22,DE,2296.764834980785,2301.2232934174535,2306.3312288905145,2217.886592162635,78.98039215686275,76.0,122,45,12109.862745098038,11638.0,18560,7076,9.284017325607843,9.123464196,14.691787387,6.6400115
cec2017_f22,DE_WT,2296.359886181175,2301.17894059142,2304.3956406972156,2200.0000009127484,52.94117647058823,52.0,77,34,8210.882352941177,8049.0,11810,5349,7.394675311117647,7.25660626,10.967379833999999,4.070509521
cec2017_f23,DE,2614.391810982863,2613.385103213589,2638.85715857398,2602.815804865369,107.94117647058823,104.0,151,54,16475.117647058825,15868.0,23031,8327,12.57914720198039,12.999573436999999,19.028474912,6.917855081
cec2017_f23,DE_WT,2616.5452135798487,2615.7792652823055,2636.1352005851536,2605.156328319787,66.76470588235294,60.0,210,37,10257.882352941177,9238.0,31881,5755,8.313316792803922,7.889910853,20.934439380999997,4.810436424000001
cec2017_f24,DE,2714.3354115549073,2742.080752350883,2770.9266507551633,2500.0000000424693,102.49019607843137,99.0,161,53,15584.35294117647,15033.0,24333,8133,10.874267997568628,10.640261585000001,17.001664771999998,5.453778629
cec2017_f24,DE_WT,2728.132725195165,2739.224526551619,2766.6541259098262,2500.0000000421287,58.0,55.0,96,39,8896.803921568628,8433.0,14583,6033,6.58483227509804,6.381350736,10.271385924,4.284476986
cec2017_f25,DE,2917.1933749992586,2898.380666242042,2948.6318266500266,2897.742869581476,73.3921568627451,73.0,120,45,11221.156862745098,11166.0,18216,6944,9.446878818411765,9.462978376999999,13.529704714,6.81344185
cec2017_f25,DE_WT,2923.565256587599,2943.436462216536,2949.10137041694,2897.7428699927395,49.92156862745098,49.0,74,29,7697.764705882353,7566.0,11316,4555,6.800546941666666,6.809911072999999,9.52952908,4.384703605
cec2017_f26,DE,2899.2513332988474,2900.0000001825533,2947.148907019354,2814.6690772584475,77.45098039215686,77.0,92,60,12005.764705882353,11942.0,14269,9216,11.105553802705884,10.940219541,15.136002291999999,8.682262356
cec2017_f26,DE_WT,2941.2006004631317,2900.0000001354415,3983.291325190501,2900.0000000287637,54.6078431372549,53.0,112,31,8571.960784313726,8320.0,17005,4855,8.128516044764707,8.085306958,14.013639119,5.332581951
cec2017_f27,DE,3094.7686406168973,3094.8163136277567,3103.0940924507418,3089.3080020914995,75.80392156862744,74.0,127,50,11606.21568627451,11305.0,19255,7716,12.274244101764706,12.301933107,18.865417494000003,8.132769295000001
cec2017_f27,DE_WT,3098.4722758399394,3095.0744827480717,3187.8036309865215,3089.5179085897325,50.88235294117647,49.0,75,26,7869.058823529412,7588.0,11444,4149,8.713764283235292,8.369540108,12.962904851,6.06362661
cec2017_f28,DE,3151.048407865297,3100.00000018672,3411.8216696623776,3100.000000032972,97.41176470588235,88.0,189,69,14997.509803921568,13713.0,28566,10698,14.653289003843138,13.69351679,26.726685632,9.391990613
cec2017_f28,DE_WT,3216.6349851913565,3100.0000020641583,3445.050013992075,2800.000006824488,70.19607843137256,62.0,120,42,10874.392156862745,9670.0,18216,6582,11.724343072882352,10.948976249000001,18.620338044,7.587537135
cec2017_f29,DE,3140.6319306740047,3136.182650831238,3208.8930876131985,3124.36427451695,161.90196078431373,160.0,244,92,24714.823529411766,24524.0,37102,14181,31.278096530960784,31.025798655,46.82212639,17.563060584
cec2017_f29,DE_WT,3154.146558004047,3144.307408179449,3269.106809721206,3129.0380919425684,153.98039215686273,152.0,252,68,23544.92156862745,23324.0,38159,10559,29.76393203203921,30.332237767000002,47.266848343999996,13.351154391
cec2017_f30,DE,131645.32122762856,3463.703084643296,820637.5487936696,3394.0084671586947,265.05882352941177,200.0,676,152,40031.333333333336,30337.0,101583,23038,49.603331753058825,39.545958325,123.905499806,27.230774635
cec2017_f30,DE_WT,115639.28634955233,3472.684852459571,820640.8368099353,3394.1262759945907,222.86274509803923,204.0,380,142,33703.86274509804,30882.0,57216,21648,41.20417644001961,38.458022684999996,66.73077378299999,27.485931367
